,stock_id,stock_name,industry_category,list_type,list_date
2646,00777B,凱基AAA至A公司債,上櫃ETF,tpex,2025-09-30
2623,00778B,凱基金融債20+,上櫃ETF,tpex,2025-09-30
2624,00779B,凱基美債25+,上櫃ETF,tpex,2025-09-30
2625,00780B,國泰A級金融債,上櫃ETF,tpex,2025-09-30
2626,00781B,國泰A級科技債,上櫃ETF,tpex,2025-09-30
2627,00782B,國泰A級公用債,上櫃ETF,tpex,2025-09-30
2628,00783,富邦中証500,ETF,twse,2025-09-30
640,00784B,富邦中國投等債,上櫃ETF,tpex,2025-04-25
2629,00785B,富邦金融投等債,上櫃ETF,tpex,2025-09-30
2630,00786B,元大10年IG銀行債,上櫃ETF,tpex,2025-09-30
2631,00787B,元大10年IG醫療債,上櫃ETF,tpex,2025-09-30
2632,00788B,元大10年IG電能債,上櫃ETF,tpex,2025-09-30
2633,00789B,復華公司債A3,上櫃ETF,tpex,2025-09-30
639,00790B,復華次順位金融債,上櫃ETF,tpex,2025-04-18
2634,00791B,復華信用債1-5,上櫃ETF,tpex,2025-09-30
2635,00792B,群益A級公司債,上櫃ETF,tpex,2025-09-30
2636,00793B,群益AAA-A醫療債,上櫃ETF,tpex,2025-09-30
702,00794B,群益7+中國政金債,上櫃ETF,tpex,2025-08-24
2637,00795B,中信美國公債20年,上櫃ETF,tpex,2025-09-30
113,00796B,中信中國債7-10,上櫃指數股票型基金(ETF),tpex,2022-08-27
7,00798B,國泰中企A級債7+,上櫃指數股票型基金(ETF),tpex,2020-07-16
2638,00799B,國泰A級醫療債,上櫃ETF,tpex,2025-09-30
461,0080,恒中國,ETF,twse,2024-12-04
462,0081,恒香港,ETF,twse,2024-12-04
707,008201,BP上證50,ETF,twse,2025-08-27
2639,00830,國泰費城半導體,ETF,twse,2025-09-30
310,00831B,新光美債1-3,上櫃指數股票型基金(ETF),tpex,2024-07-20
88,00832B,新光美債20+,上櫃指數股票型基金(ETF),tpex,2021-09-11
56,00833B,第一金美債20+,上櫃指數股票型基金(ETF),tpex,2020-12-03
2640,00834B,第一金金融債10+,上櫃ETF,tpex,2025-09-30
5,00835B,第一金科技債10+,上櫃指數股票型基金(ETF),tpex,2020-06-24
2641,00836B,永豐10年A公司債,上櫃ETF,tpex,2025-09-30
6,00837B,永豐15年金融債,上櫃指數股票型基金(ETF),tpex,2020-07-02
105,00838B,永豐7-10年中國債,上櫃指數股票型基金(ETF),tpex,2022-06-02
86,00839B,凱基醫療保健債,上櫃指數股票型基金(ETF),tpex,2021-08-05
2642,00840B,凱基IG精選15+,上櫃ETF,tpex,2025-09-30
